p300_mean_amp,p300_peak_amp,theta_power,alpha_power,beta_power,warunek,uuid,wiek,plec
12.778441033326368,287.0,5.012797771998497,1.6576653300441924,0.5644298275141425,Prawda,02F6BC66,22,M
25.25164449160552,495.0,1.0696038515492499,0.6306850092137924,0.23043891652845952,Prawda,02F6BC66,22,M
45.577518451614964,978.0,1.2785936099955495,0.4101960245441102,0.28555571592593865,Prawda,02F6BC66,22,M
51.53909812026856,1229.0,1.0911337998349524,0.370308962496954,0.31639704100826166,Prawda,02F6BC66,22,M
64.58840420356661,1696.0,1.5068238921546067,0.7307731295635987,0.2478193057067644,Prawda,02F6BC66,22,M
90.56002593654019,1865.0,0.810429602356239,0.2185482755241471,0.2505552851238291,Prawda,02F6BC66,22,M
119.46183814665407,2383.0,1.0146813259433753,0.499631523162243,0.34600451240278246,Prawda,02F6BC66,22,M
120.87919736965404,2628.0,1.9745013245461522,0.5121104694056986,0.21520748644227147,Prawda,02F6BC66,22,M
150.74418000815248,3062.0,0.8707035990684369,0.4973691574220459,0.2058418004637974,Prawda,02F6BC66,22,M
151.7602345959439,3237.0,1.585098538043435,0.5425097413549266,0.2404060612288093,Prawda,02F6BC66,22,M
183.38600123492245,3736.0,1.1175492334350694,0.7800527178618463,0.2322065045707794,Prawda,02F6BC66,22,M
177.9053499928667,3886.0,0.7645816916983129,0.7254327462787312,0.2658231694504922,Prawda,02F6BC66,22,M
232.3758207942749,4368.0,1.8561260660074193,0.3727978103947537,0.24501841156764195,Prawda,02F6BC66,22,M
220.17394022169807,4554.0,0.9111366346797277,0.2733546155836287,0.19839802175063082,Prawda,02F6BC66,22,M
259.5689023028087,5068.0,1.0851507111645375,0.3951452806596245,0.18511717518963489,Prawda,02F6BC66,22,M
238.92834666773086,5310.0,1.0866846104700032,0.4707788754157452,0.2204940962664189,Prawda,02F6BC66,22,M
276.8762925051399,5808.0,1.273269364368388,0.29368138166594343,0.23897584792883217,Prawda,02F6BC66,22,M
294.20553296389204,6106.0,1.6070506822614452,0.2925260951330855,0.21739691498775784,Prawda,02F6BC66,22,M
319.37419529767135,6568.0,1.1698713448352867,0.40306445839134614,0.21688461805039422,Prawda,02F6BC66,22,M
306.46765788917844,6752.0,1.3777179762724534,0.9182873301739244,0.17180643046097457,Prawda,02F6BC66,22,M
