amplituda_p300,warunek,uuid,wiek,plec
12.778441033326368,Prawda,02F6BC66,22,M
25.25164449160552,Prawda,02F6BC66,22,M
45.577518451614964,Prawda,02F6BC66,22,M
51.53909812026856,Prawda,02F6BC66,22,M
64.58840420356661,Prawda,02F6BC66,22,M
90.56002593654019,Prawda,02F6BC66,22,M
119.46183814665407,Prawda,02F6BC66,22,M
120.87919736965404,Prawda,02F6BC66,22,M
150.74418000815248,Prawda,02F6BC66,22,M
151.7602345959439,Prawda,02F6BC66,22,M
183.38600123492245,Prawda,02F6BC66,22,M
177.9053499928667,Prawda,02F6BC66,22,M
232.3758207942749,Prawda,02F6BC66,22,M
220.17394022169807,Prawda,02F6BC66,22,M
259.5689023028087,Prawda,02F6BC66,22,M
238.92834666773086,Prawda,02F6BC66,22,M
276.8762925051399,Prawda,02F6BC66,22,M
294.20553296389204,Prawda,02F6BC66,22,M
319.37419529767135,Prawda,02F6BC66,22,M
306.46765788917844,Prawda,02F6BC66,22,M
369.03540623212365,Prawda,02F6BC66,22,M
349.9668575180906,Prawda,02F6BC66,22,M
400.68694362558364,Prawda,02F6BC66,22,M
376.06676294485646,Prawda,02F6BC66,22,M
411.64996438225796,Prawda,02F6BC66,22,M
405.2579854728813,Prawda,02F6BC66,22,M
449.3198905026567,Prawda,02F6BC66,22,M
444.94644759667835,Prawda,02F6BC66,22,M
471.279562607902,Prawda,02F6BC66,22,M
489.40310041333953,Prawda,02F6BC66,22,M
511.63860468011075,Prawda,02F6BC66,22,M
527.9314855200934,Prawda,02F6BC66,22,M
564.301853590656,Prawda,02F6BC66,22,M
539.1205035555265,Prawda,02F6BC66,22,M
576.0250496185462,Prawda,02F6BC66,22,M
586.0683941218658,Prawda,02F6BC66,22,M
609.370448230857,Prawda,02F6BC66,22,M
618.4974938112017,Prawda,02F6BC66,22,M
649.026773960743,Prawda,02F6BC66,22,M
638.4216586467018,Prawda,02F6BC66,22,M
669.981792187365,Prawda,02F6BC66,22,M
686.7852623019692,Prawda,02F6BC66,22,M
715.1501913739655,Prawda,02F6BC66,22,M
705.153415381075,Prawda,02F6BC66,22,M
741.5378052563958,Prawda,02F6BC66,22,M
741.6568814088533,Prawda,02F6BC66,22,M
754.6550717871751,Prawda,02F6BC66,22,M
787.2601345777814,Prawda,02F6BC66,22,M
817.1023692782754,Prawda,02F6BC66,22,M
811.4764392534153,Prawda,02F6BC66,22,M
842.2975357695176,Prawda,02F6BC66,22,M
843.6977533250367,Prawda,02F6BC66,22,M
864.1777192712467,Prawda,02F6BC66,22,M
869.3825067319841,Prawda,02F6BC66,22,M
900.7887141549743,Prawda,02F6BC66,22,M
889.5542605347216,Prawda,02F6BC66,22,M
928.8531560430351,Prawda,02F6BC66,22,M
923.2866320166969,Prawda,02F6BC66,22,M
960.090906412981,Prawda,02F6BC66,22,M
966.2447959004364,Prawda,02F6BC66,22,M
1001.3065398079456,Prawda,02F6BC66,22,M
987.7681952344229,Prawda,02F6BC66,22,M
1027.872568112826,Prawda,02F6BC66,22,M
1034.7789163472885,Prawda,02F6BC66,22,M
1051.1903338157676,Prawda,02F6BC66,22,M
1069.0726225425256,Prawda,02F6BC66,22,M
1100.2237747774886,Prawda,02F6BC66,22,M
